12.09.;Datenerhebung Louisa;;;
from;to;relationship;year;
thseinthey100;jujoca200;1;2009;
thseinthey100;feju300;1;2009;
jujoca200;feju300;2;2009;
gowithwi100;vifl200;1;1939;
gowithwi100;mast300;1;1939;
vifl200;mast300;2;1939;
lostantwsmba100;guri200;1;1998;
ch100;ropo200;1;1974;
ch100;jego300;1;1974;
ropo200;jego300;2;1974;
cameifyoca100;stsp200;1;2002;
cameifyoca100;jowi300;1;2002;
stsp200;jowi300;2;2002;
vfove100;jamc200;1;2006;
vfove100;dama300;1;2006;
jamc200;dama300;2;2006;
inou100;pedo200;1;2015;
inou100;migi300;1;2015;
pedo200;migi300;2;2015;
tr100;dabo200;1;1996;
tr100;bren300;1;1996;
dabo200;bren300;2;1996;
deposo100;pewe200;1;1989;
deposo100;maja300;1;1989;
pewe200;maja300;2;1989;
thbiouebmi100;mamc200;1;2017;
thbiouebmi100;cabu300;1;2017;
mamc200;cabu300;2;2017;
hapoanthdeha100;daya200;1;2011;
hapoanthdeha100;alde300;1;2011;
daya200;alde300;2;2011;
ra2100;akku200;1;1950;
ra2100;fuha300;1;1950;
akku200;fuha300;2;1950;
thbronthrikw100;maar300;1;1957;
thbronthrikw100;dale200;1;1957;
dale200;maar300;2;1957;
thwiro100;chsa200;1;2024;
thwiro100;krbo300;1;2024;
chsa200;krbo300;2;2024;
baly100;lero300;1;1975;
baly100;stku200;1;1975;
stku200;lero300;2;1975;
behu100;wiwy200;1;1959;
behu100;miro300;1;1959;
wiwy200;miro300;2;1959;
wa100;gaoco200;1;2011;
wa100;mais300;1;2011;
gaoco200;mais300;2;2011;
fa100;joco200;1;1996;
fa100;etco200;1;1996;
fa100;cabu300;1;1996;
joco200;cabu300;2;1996;
etco200;cabu300;2;1996;
hari100;rugrwi300;1;2016;
hari100;megi200;1;2016;
megi200;rugrwi300;2;2016;
mamafuro100;gemi200;1;2015;
mamafuro100;juxl300;1;2015;
gemi200;juxl300;2;2015;
midoba100;mist300;1;2004;
midoba100;clea200;1;2004;
midoba100;kyea300;1;2004;
clea200;mist300;2;2004;
clea200;kyea300;2;2004;
chofhe100;mama200;1;1997;
chofhe100;keja300;1;1997;
mama200;keja300;2;1997;
ra3100;brbi200;1;2007;
ra3100;japi200;1;2007;
ra3100;migi300;1;2007;
brbi200;migi300;2;2007;
japi200;migi300;2;2007;
myneto100;hami200;1;1988;
myneto100;johi300;1;1988;
hami200;johi300;2;1988;
rabu100;roro300;1;1980;
rabu100;masco200;1;1980;
masco200;roro300;2;1980;
grto100;kyea300;1;2008;
grto100;clea200;1;2008;
grto100;mist300;1;2008;
clea200;kyea300;2;2008;
clea200;mist300;2;2008;
12yeasl100;stmc200;1;2013;
12yeasl100;hazi300;1;2013;
stmc200;hazi300;2;2013;
thgrbuho100;wean200;1;2014;
thgrbuho100;alde300;1;2014;
wean200;alde300;2;2014;
hototryodr100;dede200;1;2010;
hototryodr100;joh300;1;2010;
dede200;joh300;2;2010;
hototryodr100;chsa200;1;2010;
chsa200;joh300;2;2010;
meofmu100;taiw300;1;2003;
meofmu100;bojoho200;1;2003;
bojoho200;taiw300;2;2003;
besu100;rili200;1;1995;
besu100;frfr300;1;1995;
rili200;frfr300;2;1995;
blru100;va300;1;1982;
blru100;risc200;1;1982;
risc200;va300;2;1982;
moin100;dasi200;1;2001;
moin100;pedo200;1;2001;
moin100;rane300;1;2001;
dasi200;rane300;2;2001;
pedo200;rane300;2;2001;
gogi100;trre300;1;2014;
gogi100;atro300;1;2014;
gogi100;dafi200;1;2014;
dafi200;trre300;2;2014;
dafi200;atro300;2;2014;
spmanowaho100;jowa200;1;2021;
spmanowaho100;migi300;1;2021;
jowa200;migi300;2;2021;
ja100;stsp200;1;1975;
ja100;jowi300;1;1975;
stsp200;jowi300;2;1975;
fovfe100;jama200;1;2019;
fovfe100;mabe300;1;2019;
jama200;mabe300;2;2019;
inthnaofthfa100;jish200;1;1993;
inthnaofthfa100;trjo300;1;1993;
jish200;trjo300;2;1993;
wita100;dasz200;1;2014;
wita100;gusa300;1;2014;
dasz200;gusa300;2;2014;
thgoru100;chch200;1;1925;
shjr100;buke200;1;1924;
shjr100;rois300;1;1924;
buke200;rois300;2;1924;
maanma100;adel200;1;2009;
maanma100;daco300;1;2009;
adel200;daco300;2;2009;
chmathmorear100;tayo200;1;2025;
chmathmorear100;keus300;1;2025;
tayo200;keus300;2;2025;
thdehu100;mici200;1;1978;
thdehu100;stmy300;1;1978;
mici200;stmy300;2;1978;
thwaoffe100;hegecl200;1;1953;
thwaoffe100;geau300;1;1953;
hegecl200;geau300;2;1953;
asivo100;naya200;1;2016;
asivo100;keus300;1;2016;
naya200;keus300;2;2016;
ro100;jogav200;1;1976;
ro100;bico300;1;1976;
jogav200;bico300;2;1976;
lo100;jama200;1;2017;
lo100;mabe300;1;2017;
jama200;mabe300;2;2017;
thge100;clbr200;1;1926;
thge100;buke200;1;1926;
thge100;rois300;1;1926;
clbr200;rois300;2;1926;
buke200;rois300;2;1926;
piofthcathcu100;gove200;1;2003;
piofthcathcu100;klba300;1;2003;
gove200;klba300;2;2003;
mrsmgotowa100;frca200;1;1939;
mrsmgotowa100;diti300;1;1939;
frca200;diti300;2;1939;
thchclfathcl100;ereg200;1;1975;
thchclfathcl100;meki300;1;1975;
ereg200;meki300;2;1975;
tost2100;ozya200;1;1953;
laha100;maka200;1;1995;
sp100;thmc200;1;2015;
sp100;hosho300;1;2015;
thmc200;hosho300;2;2015;
jabh100;tjgn200;1;2021;
jabh100;sero300;1;2021;
tjgn200;sero300;2;2021;
thsoofmu100;rowi200;1;1965;
thsoofmu100;riro300;1;1965;
rowi200;riro300;2;1965;
onthwa100;elka200;1;1954;
onthwa100;lebe300;1;1954;
elka200;lebe300;2;1954;
ma100;nisa200;1;2024;
ma100;bajlo300;1;2024;
nisa200;bajlo300;2;2024;
wist100;inbe200;1;1957;
wist100;erno300;1;1957;
inbe200;erno300;2;1957;
thte100;jaca200;1;1984;
thte100;brfi300;1;1984;
jaca200;brfi300;2;1984;
thbeyeofouli2100;hufr300;1;1946;
thbeyeofouli2100;wiwy200;1;1946;
wiwy200;hufr300;2;1946;
ththma100;care200;1;1949;
ththma100;anka300;1;1949;
care200;anka300;2;1949;
thbile100;joco200;1;1998;
